Date,Open,High,Low,Close,Adj Close,Volume
2009-03-19,81.139999,81.199997,78.879997,79.080002,61.804356,10163100
2009-03-20,79.519997,79.599998,77.269997,77.400002,60.491352,8213200
2009-03-23,79.589996,83.050003,79.160004,83.040001,64.899231,8836400
2009-03-24,81.989998,83.120003,81.269997,81.449997,63.656616,7858300
2009-03-25,81.440002,82.919998,79.279999,81.570000,64.189369,7907900
2009-03-26,82.470001,83.500000,81.690002,83.300003,65.550751,8810300
2009-03-27,82.209999,82.699997,81.519997,81.800003,64.370346,6124800
2009-03-30,79.970001,80.080002,78.129997,78.989998,62.159096,6650200
2009-03-31,79.779999,81.269997,79.260002,79.620003,62.654842,8959600
2009-04-01,78.739998,81.620003,78.550003,81.260002,63.945427,6667400
2009-04-02,83.279999,84.830002,82.949997,83.629997,65.810417,10098900
2009-04-03,83.699997,84.489998,82.879997,84.449997,66.455681,6816800
2009-04-06,83.570000,84.010002,82.510002,83.750000,65.904846,5049900
2009-04-07,82.410004,82.849998,81.720001,81.800003,64.370346,5112400
2009-04-08,82.279999,83.150002,81.760002,82.699997,65.078598,4594900
2009-04-09,84.900002,86.010002,84.559998,86.000000,67.675446,4756600
2009-04-13,85.150002,86.760002,84.800003,86.099998,67.754135,4030400
2009-04-14,85.260002,85.980003,84.300003,84.570000,66.550102,5225000
2009-04-15,84.029999,85.639999,83.800003,85.480003,67.266235,3943000
2009-04-16,86.150002,87.360001,85.000000,86.769997,68.281364,4234300
2009-04-17,87.040001,87.870003,86.360001,87.279999,68.682655,3864100
2009-04-20,85.800003,85.889999,83.550003,83.690002,65.857613,3182200
2009-04-21,83.029999,85.360001,82.970001,85.320000,67.140343,6603300
2009-04-22,84.519997,86.559998,84.290001,84.769997,66.707512,9038400
2009-04-23,84.930000,85.660004,83.849998,85.599998,67.360664,5367600
2009-04-24,86.279999,87.529999,85.949997,86.870003,68.360046,4053100
2009-04-27,85.910004,87.230003,85.760002,86.110001,67.761993,4590100
